454,640
1,939
185,258
55,170
9,453
9,45
14,190
255,275
176,533
116,533
151,866
280,484
243,687
54,866
295,441
101,425
47,241
116,176
179,202
63,179
564,577
265,494
443,637
209,843
222,843
205,894
1359,1383
376,638
1238,1260
487,984
226,353
1342,1518
122,255
1067,1324
70,132
55,779
279,908
279,510
202,545
1332,1401
55,202
3,884
353,884
339,884
691,869
72,954
160,226
117,364
346,374
111,124
276,621
39,871
513,638
236,908
376,513
1594,1828
117,494
196,252
201,245
390,938
106,272
254,382
119,122
240,447
101,122
252,364
39,265
1204,1359
883,894
199,649
72,674
1218,1512
205,883
1359,1518
502,691
55,252
106,117
626,649
201,420
265,871
132,240
132,255
353,504
272,883
119,447
170,494
252,779
70,240
587,778
267,276
1332,1828
1,494
272,871
312,612
70,447
54,151
117,196
205,494
240,425
245,869
196,346
101,240
15,211
279,366
227,440
245,420
219,605
634,658
196,364
124,487
151,642
106,871
311,453
236,391
777,908
20,958
61,612
634,691
634,869
20,513
147,884
41,605
311,545
376,420
211,242
391,908
38,634
242,450
366,438
1295,1512
1212,1295
28,327
170,894
1212,1512
1216,1512
1260,1784
27,171
226,884
1342,1359
638,694
274,280
387,658
1512,1805
1237,1423
1204,1342
327,441
1295,1401
28,226
61,160
1201,1342
1201,1518
61,226
1216,1805
276,786
312,886
605,1238
267,382
1228,1423
295,763
372,544
327,372
372,429
327,429
147,407
28,147
343,867
89,492
90,615
269,603
335,765
257,268
272,939
786,923
269,276
170,939
181,765
797,958
945,954
89,285
279,1543
147,353
254,276
27,173
117,939
45,79
185,744
285,492
27,720
210,285
185,214
254,258
3,353
429,441
147,226
45,674
210,492
725,859
145,650
46,268
372,441
465,854
32,227
256,533
131,356
177,400
177,637
58,356
222,867
333,769
268,884
160,464
61,464
115,190
267,335
295,353
120,210
27,28
471,970
89,120
190,213
120,285
3,147
160,544
27,477
115,213
1,196
220,243
407,720
325,959
653,778
487,725
89,488
120,488
1212,1214
488,492
92,845
210,488
285,488
117,252
71,92
65,991
156,640
20,438
642,866
1214,1512
638,655
156,866
1228,1401
177,984
177,487
376,655
691,1332
1295,1805
869,1332
454,874
54,753
20,655
513,655
1401,1412
15,413
170,871
252,871
687,866
1412,1423
484,497
170,883
117,205
4,90
194,227
545,653
311,496
202,653
89,232
4,424
1320,1359
1212,1336
272,487
41,658
720,871
28,429
441,504
272,372
272,327
176,258
28,407
1212,1828
1212,1594
1295,1518
111,725
111,487
275,612
38,866
279,1518
38,243
28,653
275,312
275,886
38,220
176,213
253,706
612,886
254,269
1345,1594
356,548
176,214
809,991
213,214
1067,1218
32,920
115,176
1218,1238
753,866
111,927
115,214
487,927
407,954
145,428
177,945
254,335
58,450
339,353
258,269
400,945
242,845
211,845
92,242
28,954
634,1332
638,958
487,859
85,258
1232,1894
1423,1784
605,687
65,809
1212,1345
333,893
232,492
232,706
1359,1423
39,252
85,213
232,488
176,190
1260,1543
101,374
89,826
1212,1359
205,939
1342,1423
80,120
80,172
101,364
120,172
172,210
1214,1359
356,867
4,325
80,285
89,322
1212,1518
1423,1518
15,845
54,869
290,777
232,322
1067,1518
859,927
184,544
125,333
706,771
1512,1518
63,199
160,184
527,531
85,390
502,869
21,826
280,497
582,687
366,974
1201,1324
41,634
194,743
200,826
177,531
322,601
605,866
4,241
58,548
1324,1594
253,826
388,492
92,496
492,496
1324,1345
199,626
39,364
1212,1332
627,857
1228,1232
268,504
256,267
58,335
335,356
90,491
176,382
184,226
119,132
425,649
122,132
70,122
275,653
55,272
201,243
122,275
132,649
132,447
447,649
240,364
706,826
200,601
275,649
15,285
122,447
388,496
15,210
252,265
448,480
413,826
200,448
194,242
172,845
1204,1214
15,200
210,253
200,413
413,480
210,743
253,743
232,285
706,743
89,601
15,826
265,883
70,425
494,939
45,210
61,353
407,653
255,447
46,196
122,653
184,327
725,927
265,364
199,275
1332,1894
184,429
3,653
147,653
1342,1512
200,232
353,653
1237,1336
279,638
184,372
124,471
4,333
227,920
1485,1518
65,407
200,322
779,939
90,333
626,939
90,797
173,720
677,809
769,893
147,674
246,921
85,190
122,240
122,199
119,179
90,125
428,489
145,489
1067,1336
14,176
115,356
1238,1543
322,998
533,621
376,435
1201,1214
1218,1518
866,874
9,48
80,468
272,778
1339,1512
45,48
1214,1324
159,874
58,836
9,448
232,826
258,603
159,642
325,622
545,778
149,274
58,115
3,477
115,181
89,998
185,603
58,116
258,938
603,938
1237,1324
58,176
626,653
1201,1359
15,45
9,134
9,232
1324,1518
134,492
1201,1594
58,256
1238,1324
131,194
134,938
658,866
159,866
1228,1345
200,706
248,917
376,1228
525,866
9,254
41,513
9,79
124,970
364,939
4,125
582,694
116,621
582,866
116,185
1201,1204
120,253
55,653
34,866
34,151
34,38
147,477
21,413
366,387
90,909
1067,1512
9,496
34,201
871,883
274,484
525,694
201,220
1218,1324
841,958
9,998
1216,1339
147,184
184,407
435,1228
435,1345
184,653
1594,1819
1212,1216
1423,1819
1295,1339
181,256
34,1870
272,884
65,177
440,920
65,945
20,277
241,920
504,979
241,440
48,779
441,447
15,242
85,356
601,647
248,769
90,769
269,941
4,452
346,425
603,836
327,763
9,601
276,784
1212,1339
1320,1518
1518,1543
544,763
184,353
239,327
79,89
90,452
209,390
1518,1784
826,882
90,325
429,504
1485,1543
15,194
826,998
61,239
71,285
240,939
3,184
1359,1519
242,826
21,242
280,391
211,826
239,544
1332,1819
20,41
32,194
156,874
769,959
1412,1518
4,769
185,786
435,958
333,452
763,884
265,779
246,977
124,984
621,843
254,941
258,612
28,171
452,1332
279,1067
638,1543
638,1067
1067,1543
921,977
219,874
1324,1342
917,960
160,763
751,826
185,276
274,497
428,927
32,1423
447,871
322,826
131,440
106,1805
280,777
54,201
194,440
601,826
202,674
674,778
